27,Equipo,Equipo,"MONITOR, INSTALADO EN SALA DE EXRECTORES",monitor instalado sala exrectores,bien,telecomunicaciones,m o n i t o r,i n s t a l a d o,s a l a
28,Equipo,Equipo,RATÓN PS2 CON SCROLL (331),ratón ps scroll,NO CLASIFICADO,NO CLASIFICADO,r a t ó n,p s,s c r o l l
29,Equipo,Equipo,IMPRESORA LASERJET 20PM A COLOR.,impresora laserjet pm,electronico,telecomunicaciones,i m p r e s o r a,l a s e r j e t,p m
30,Mobiliario,Mobiliario,TUBULAR 4 NIVELES,tubular niveles,NO CLASIFICADO,NO CLASIFICADO,t u b u l a r,n i v e l e s,
31,Mobiliario,Mobiliario,PERCHERO,perchero,bien,NO CLASIFICADO,p e r c h e r o,,
32,Equipo,Equipo,"CPU PENTIUM III A 1 GHZ, 256MB (2*128MB), DISCO DURO DE 10GB, CD-ROOM REMOVIBLE (162)",cpu pentium iii ghz mb mb disco duro gb cd room removible,electronico,telecomunicaciones,c p u,p e n t i u m,i i i
33,Equipo,Equipo,MOUSE LOGITECH T-CC2-9F SERIE LT123C04148,mouse logitech cc lt,electronico,telecomunicaciones,m o u s e,l o g i t e c h,c c
34,Mobiliario,Mobiliario,"SILLA TAPIZ DE TELA COLOR AZUL PLATA, CON RUEDAS, AJUSTE EN DESCANSA BRAZOS, EN ALTURA, EN INCLINACI",silla tapiz tela azul plata ruedas ajuste descansa brazos altura inclinaci,bien,mueble,s i l l a,t a p i z,t e l a
35,Equipo,Equipo,TARJETA DE EDICIÓN DE VIDEO CAPTURA Y EFECTOS EN TIEMPO REAL (146),tarjeta edición video captura efectos tiempo real,electronico,telecomunicaciones,t a r j e t a,e d i c i ó n,v i d e o
36,Equipo,Equipo,MOUSE INTEGRADO EN COMPUTADORA COMPLETA,mouse integrado computadora completa,electronico,telecomunicaciones,m o u s e,i n t e g r a d o,c o m p u t a d o r a
37,Mobiliario,Mobiliario,GABINETE CERRADO COLOR GRIS,gabinete cerrado gris,NO CLASIFICADO,NO CLASIFICADO,g a b i n e t e,c e r r a d o,g r i s
38,Mobiliario,Mobiliario,"SILLA COLOR AZÚL, CON CODERAS (116)ASESORES",silla azúl coderas asesores,bien,mueble,s i l l a,a z ú l,c o d e r a s
39,Equipo,Equipo,PULIDORA EN COLOR AMARILLO,pulidora amarillo,herramientas,trabajo,p u l i d o r a,a m a r i l l o,
40,Equipo,Equipo,"REPRODUCTOR DE DISCOS COMPACTOS,",reproductor discos compactos,electronico,NO CLASIFICADO,r e p r o d u c t o r,d i s c o s,c o m p a c t o s
41,Equipo,Equipo,RATÓN ÓPTICO USB CON SCROLL (77),ratón óptico usb scroll,electronico,telecomunicaciones,r a t ó n,ó p t i c o,u s b
42,Equipo,Equipo,TECLADO (67)ASESORES,teclado asesores,electronico,telecomunicaciones,t e c l a d o,a s e s o r e s,
43,Equipo,Equipo,AUDIFONO MICRIFONO,audifono micrifono,electronico,telecomunicaciones,a u d i f o n o,m i c r i f o n o,
44,Equipo,Equipo,"BACK UPS PRO, NOBRAKE,",back ups nobrake,electronico,arte,b a c k,u p s,n o b r a k e
45,Equipo,Equipo,"MONITOR 15"" HP",monitor hp,electronico,telecomunicaciones,m o n i t o r,h p,
46,Equipo,Equipo,BASE DE MESA PARA MICROFONO DE 15 CMS.,base mesa microfono,bien,mueble,b a s e,m e s a,m i c r o f o n o
47,Equipo,Equipo,"COMPUTADORA PORTATIL PENTIUM IV A 1.8 GHZ, 256MB(2X128MB) EN RAM, DISCO DURO DE 20 GB, TARJETA INALA",computadora portatil pentium iv ghz mb mb ram disco duro gb tarjeta inala,bien,telecomunicaciones,c o m p u t a d o r a,p o r t a t i l,p e n t i u m
